Date,Count,Total,Percentage,Percentages,Month
1995-04-01,52177,648138,8.05%,0.08050291759,April
1995-05-01,56748,648138,8.76%,0.08755542801,May
1995-06-01,55797,648138,8.61%,0.08608814789,June
1995-07-01,56541,648138,8.72%,0.08723605158,July
1995-08-01,55579,648138,8.58%,0.08575179977,August
1995-09-01,55303,648138,8.53%,0.08532596453,September
1995-10-01,54926,648138,8.47%,0.08474429828,October
1995-11-01,51363,648138,7.92%,0.07924701221,November
1995-12-01,51191,648138,7.90%,0.07898163663,December
1996-01-01,53523,649485,8.24%,0.08240836971,January
1996-02-01,50388,649485,7.76%,0.07758146839,February
1996-03-01,53370,649485,8.22%,0.08217279845,March
1996-04-01,50495,649485,7.77%,0.07774621431,April
1996-05-01,53843,649485,8.29%,0.08290106777,May
1996-06-01,53745,649485,8.28%,0.08275017899,June
1996-07-01,57606,649485,8.87%,0.08869488903,July
1996-08-01,55956,649485,8.62%,0.08615441465,August
1996-09-01,56387,649485,8.68%,0.08681801735,September
1996-10-01,56221,649485,8.66%,0.08656243023,October
1996-11-01,53752,649485,8.28%,0.08276095676,November
1996-12-01,54199,649485,8.34%,0.08344919436,December
1997-01-01,54517,643095,8.48%,0.08477285627,January
1997-02-01,49532,643095,7.70%,0.0770212799,February
1997-03-01,54083,643095,8.41%,0.08409799485,March
1997-04-01,53986,643095,8.39%,0.08394716177,April
1997-05-01,55444,643095,8.62%,0.08621432292,May
1997-06-01,53851,643095,8.37%,0.08373723944,June
1997-07-01,56387,643095,8.77%,0.08768066926,July
1997-08-01,54845,643095,8.53%,0.08528288978,August
1997-09-01,53673,643095,8.35%,0.08346045297,September
1997-10-01,52955,643095,8.23%,0.08234397717,October
1997-11-01,50731,643095,7.89%,0.07888570118,November
1997-12-01,53091,643095,8.26%,0.08255545448,December
1998-01-01,53423,635901,8.40%,0.08401150494,January
1998-02-01,48795,635901,7.67%,0.0767336425,February
1998-03-01,53626,635901,8.43%,0.08433073702,March
1998-04-01,52421,635901,8.24%,0.08243578796,April
1998-05-01,53020,635901,8.34%,0.08337775849,May
1998-06-01,53117,635901,8.35%,0.08353029796,June
1998-07-01,56361,635901,8.86%,0.08863172098,July
1998-08-01,54437,635901,8.56%,0.08560609277,August
1998-09-01,55342,635901,8.70%,0.08702927028,September
1998-10-01,53619,635901,8.43%,0.08431972901,October
1998-11-01,50147,635901,7.89%,0.07885975962,November
1998-12-01,51593,635901,8.11%,0.08113369848,December
1999-01-01,51168,621872,8.23%,0.08228059794,January
1999-02-01,47615,621872,7.66%,0.07656720354,February
1999-03-01,53298,621872,8.57%,0.08570574009,March
1999-04-01,50756,621872,8.16%,0.08161808218,April
1999-05-01,53469,621872,8.60%,0.08598071629,May
1999-06-01,53025,621872,8.53%,0.085266743,June
1999-07-01,54524,621872,8.77%,0.08767720689,July
1999-08-01,52921,621872,8.51%,0.08509950601,August
1999-09-01,52676,621872,8.47%,0.08470553426,September
1999-10-01,51013,621872,8.20%,0.0820313505,October
1999-11-01,49850,621872,8.02%,0.08016119073,November
1999-12-01,51557,621872,8.29%,0.08290612859,December
2000-01-01,50547,604441,8.36%,0.08362602802,January
2000-02-01,47017,604441,7.78%,0.07778592121,February
2000-03-01,51115,604441,8.46%,0.08456573925,March
2000-04-01,49031,604441,8.11%,0.08111792549,April
2000-05-01,51752,604441,8.56%,0.08561960555,May
2000-06-01,49917,604441,8.26%,0.08258374266,June
2000-07-01,52609,604441,8.70%,0.08703744451,July
2000-08-01,51922,604441,8.59%,0.08590085716,August
2000-09-01,50443,604441,8.35%,0.08345396821,September
2000-10-01,50862,604441,8.41%,0.08414717069,October
2000-11-01,49771,604441,8.23%,0.08234219717,November
2000-12-01,49455,604441,8.18%,0.08181940007,December
2001-01-01,50591,594634,8.51%,0.0850792252,January
2001-02-01,45150,594634,7.59%,0.07592905888,February
2001-03-01,49793,594634,8.37%,0.08373722323,March
2001-04-01,47805,594634,8.04%,0.08039399025,April
2001-05-01,51474,594634,8.66%,0.08656417225,May
2001-06-01,49483,594634,8.32%,0.08321589415,June
2001-07-01,51328,594634,8.63%,0.08631864306,July
2001-08-01,50958,594634,8.57%,0.08569641157,August
2001-09-01,50680,594634,8.52%,0.0852288971,September
2001-10-01,51364,594634,8.64%,0.08637918451,October
2001-11-01,48417,594634,8.14%,0.08142319477,November
2001-12-01,47591,594634,8.00%,0.08003410501,December
2002-01-01,49165,596122,8.25%,0.08247472833,January
2002-02-01,45150,596122,7.57%,0.07573952983,February
2002-03-01,48972,596122,8.22%,0.0821509691,March
2002-04-01,47940,596122,8.04%,0.08041977984,April
2002-05-01,50726,596122,8.51%,0.08509331982,May
2002-06-01,48539,596122,8.14%,0.08142460771,June
2002-07-01,51984,596122,8.72%,0.0872036261,July
2002-08-01,51122,596122,8.58%,0.08575761337,August
2002-09-01,51933,596122,8.71%,0.08711807315,September
2002-10-01,52241,596122,8.76%,0.08763474591,October
2002-11-01,48611,596122,8.15%,0.08154538836,November
2002-12-01,49739,596122,8.34%,0.08343761847,December
2003-01-01,50579,621469,8.14%,0.08138619947,January
2003-02-01,46017,621469,7.40%,0.07404552761,February
2003-03-01,50845,621469,8.18%,0.0818142176,March
2003-04-01,50761,621469,8.17%,0.08167905398,April
2003-05-01,52910,621469,8.51%,0.08513698994,May
2003-06-01,51481,621469,8.28%,0.0828375993,June
2003-07-01,55425,621469,8.92%,0.0891838531,July
2003-08-01,53311,621469,8.58%,0.08578223532,August
2003-09-01,54124,621469,8.71%,0.08709042607,September
2003-10-01,54159,621469,8.71%,0.08714674425,October
2003-11-01,50599,621469,8.14%,0.08141838129,November
2003-12-01,51258,621469,8.25%,0.08247877207,December
2004-01-01,53028,639721,8.29%,0.0828923859,January
2004-02-01,49350,639721,7.71%,0.07714300453,February
2004-03-01,52793,639721,8.25%,0.08252503826,March
2004-04-01,51383,639721,8.03%,0.08032095242,April
2004-05-01,52726,639721,8.24%,0.0824203051,May
2004-06-01,53313,639721,8.33%,0.08333789261,June
2004-07-01,55619,639721,8.69%,0.08694258903,July
2004-08-01,54270,639721,8.48%,0.08483385726,August
2004-09-01,55556,639721,8.68%,0.0868441086,September
2004-10-01,55368,639721,8.66%,0.08655023049,October
2004-11-01,52899,639721,8.27%,0.08269073549,November
2004-12-01,53416,639721,8.35%,0.0834989003,December
2005-01-01,52527,645835,8.13%,0.08133191914,January
2005-02-01,48080,645835,7.44%,0.07444625949,February
2005-03-01,53671,645835,8.31%,0.08310326941,March
2005-04-01,52064,645835,8.06%,0.08061501777,April
2005-05-01,53610,645835,8.30%,0.08300881804,May
2005-06-01,54078,645835,8.37%,0.08373346133,June
2005-07-01,56526,645835,8.75%,0.08752390316,July
2005-08-01,57230,645835,8.86%,0.08861396487,August
2005-09-01,56396,645835,8.73%,0.08732261336,September
2005-10-01,55614,645835,8.61%,0.08611177778,October
2005-11-01,52279,645835,8.09%,0.08094792013,November
2005-12-01,53760,645835,8.32%,0.08324107551,December
2006-01-01,53462,669601,7.98%,0.0798415773,January
2006-02-01,50196,669601,7.50%,0.07496404575,February
2006-03-01,55861,669601,8.34%,0.08342430791,March
2006-04-01,52993,669601,7.91%,0.07914116018,April
2006-05-01,56724,669601,8.47%,0.08471313514,May
2006-06-01,56463,669601,8.43%,0.08432335077,June
2006-07-01,57486,669601,8.59%,0.08585112627,July
2006-08-01,58367,669601,8.72%,0.08716683517,August
2006-09-01,59065,669601,8.82%,0.088209247,September
2006-10-01,58467,669601,8.73%,0.08731617784,October
2006-11-01,55541,669601,8.29%,0.08294641137,November
2006-12-01,54976,669601,8.21%,0.08210262529,December
2007-01-01,56318,690013,8.16%,0.08161875211,January
2007-02-01,51415,690013,7.45%,0.07451308888,February
2007-03-01,56292,690013,8.16%,0.08158107166,March
2007-04-01,54223,690013,7.86%,0.07858257743,April
2007-05-01,58830,690013,8.53%,0.08525926323,May
2007-06-01,56486,690013,8.19%,0.08186222578,June
2007-07-01,60202,690013,8.72%,0.08724763157,July
2007-08-01,60928,690013,8.83%,0.08829978566,August
2007-09-01,60289,690013,8.74%,0.08737371615,September
2007-10-01,60072,690013,8.71%,0.08705922932,October
2007-11-01,57024,690013,8.26%,0.08264192124,November
2007-12-01,57934,690013,8.40%,0.08396073697,December
2008-01-01,59691,708711,8.42%,0.08422474041,January
2008-02-01,55226,708711,7.79%,0.0779245701,February
2008-03-01,58846,708711,8.30%,0.08303243494,March
2008-04-01,58064,708711,8.19%,0.08192902325,April
2008-05-01,60405,708711,8.52%,0.08523220325,May
2008-06-01,58491,708711,8.25%,0.08253152554,June
2008-07-01,61811,708711,8.72%,0.08721608667,July
2008-08-01,60407,708711,8.52%,0.08523502528,August
2008-09-01,60229,708711,8.50%,0.08498386507,September
2008-10-01,59749,708711,8.43%,0.08430657913,October
2008-11-01,57201,708711,8.07%,0.08071131956,November
2008-12-01,58591,708711,8.27%,0.08267262678,December
2009-01-01,57361,706248,8.12%,0.08121934505,January
2009-02-01,53033,706248,7.51%,0.0750911861,February
2009-03-01,58560,706248,8.29%,0.08291704897,March
2009-04-01,57447,706248,8.13%,0.0813411153,April
2009-05-01,59058,706248,8.36%,0.08362218371,May
2009-06-01,58620,706248,8.30%,0.08300200496,June
2009-07-01,61636,706248,8.73%,0.08727245953,July
2009-08-01,59495,706248,8.42%,0.08424094652,August
2009-09-01,60130,706248,8.51%,0.08514006411,September
2009-10-01,61529,706248,8.71%,0.08712095468,October
2009-11-01,59172,706248,8.38%,0.0837836001,November
2009-12-01,60207,706248,8.52%,0.08524909097,December
2010-01-01,60179,723165,8.32%,0.08321614016,January
2010-02-01,54551,723165,7.54%,0.07543368388,February
2010-03-01,59965,723165,8.29%,0.08292021876,March
2010-04-01,57196,723165,7.91%,0.07909121708,April
2010-05-01,59444,723165,8.22%,0.0821997746,May
2010-06-01,59459,723165,8.22%,0.08222051676,June
2010-07-01,62166,723165,8.60%,0.0859637842,July
2010-08-01,60598,723165,8.38%,0.08379553767,August
2010-09-01,62986,723165,8.71%,0.08709768863,September
2010-10-01,64542,723165,8.92%,0.08924934144,October
2010-11-01,60745,723165,8.40%,0.08399881078,November
2010-12-01,61334,723165,8.48%,0.08481328604,December
2011-01-01,60232,723913,8.32%,0.08320336836,January
2011-02-01,54998,723913,7.60%,0.07597321778,February
2011-03-01,59814,723913,8.26%,0.08262595091,March
2011-04-01,57851,723913,7.99%,0.07991429909,April
2011-05-01,60978,723913,8.42%,0.08423387893,May
2011-06-01,60835,723913,8.40%,0.08403634138,June
2011-07-01,63002,723913,8.70%,0.08702979502,July
2011-08-01,61806,723913,8.54%,0.08537766279,August
2011-09-01,61058,723913,8.43%,0.08434438945,September
2011-10-01,61679,723913,8.52%,0.08520222734,October
2011-11-01,60589,723913,8.37%,0.08369652154,November
2011-12-01,61071,723913,8.44%,0.08436234741,December
2012-01-01,61942,729674,8.49%,0.08488996456,January
2012-02-01,56783,729674,7.78%,0.07781968386,February
2012-03-01,61043,729674,8.37%,0.0836579075,March
2012-04-01,58088,729674,7.96%,0.07960815378,April
2012-05-01,62736,729674,8.60%,0.08597812174,May
2012-06-01,59664,729674,8.18%,0.08176802243,June
2012-07-01,61920,729674,8.49%,0.08485981411,July
2012-08-01,61995,729674,8.50%,0.08496259974,August
2012-09-01,62949,729674,8.63%,0.08627003292,September
2012-10-01,63387,729674,8.69%,0.08687030098,October
2012-11-01,59593,729674,8.17%,0.0816707187,November
2012-12-01,59574,729674,8.16%,0.08164467968,December
2013-01-01,59101,698512,8.46%,0.08460985638,January
2013-02-01,53437,698512,7.65%,0.0765011911,February
2013-03-01,58234,698512,8.34%,0.08336864649,March
2013-04-01,55286,698512,7.91%,0.07914824656,April
2013-05-01,58615,698512,8.39%,0.08391409167,May
2013-06-01,56981,698512,8.16%,0.08157483336,June
2013-07-01,61422,698512,8.79%,0.08793263394,July
2013-08-01,60238,698512,8.62%,0.08623760222,August
2013-09-01,60289,698512,8.63%,0.08631061456,September
2013-10-01,60519,698512,8.66%,0.08663988593,October
2013-11-01,56822,698512,8.13%,0.08134720663,November
2013-12-01,57568,698512,8.24%,0.08241519115,December
2014-01-01,58213,695233,8.37%,0.08373164105,January
2014-02-01,53278,695233,7.66%,0.07663330135,February
2014-03-01,57465,695233,8.27%,0.08265574275,March
2014-04-01,55310,695233,7.96%,0.0795560625,April
2014-05-01,58898,695233,8.47%,0.08471692224,May
2014-06-01,57190,695233,8.23%,0.08226019191,June
2014-07-01,60516,695233,8.70%,0.08704419957,July
2014-08-01,59065,695233,8.50%,0.08495712948,August
2014-09-01,61197,695233,8.80%,0.0880237273,September
2014-10-01,61152,695233,8.80%,0.0879590008,October
2014-11-01,55971,695233,8.05%,0.08050682289,November
2014-12-01,56978,695233,8.20%,0.08195525817,December
2015-01-01,57811,697852,8.28%,0.08284134745,January
2015-02-01,52345,697852,7.50%,0.07500874111,February
2015-03-01,56692,697852,8.12%,0.08123785559,March
2015-04-01,55851,697852,8.00%,0.080032729,April
2015-05-01,59410,697852,8.51%,0.08513266423,May
2015-06-01,58580,697852,8.39%,0.0839433003,June
2015-07-01,61425,697852,8.80%,0.08802009595,July
2015-08-01,59259,697852,8.49%,0.08491628597,August
2015-09-01,60173,697852,8.62%,0.08622601927,September
2015-10-01,60569,697852,8.68%,0.08679347483,October
2015-11-01,57774,697852,8.28%,0.08278832761,November
2015-12-01,57963,697852,8.31%,0.08305915868,December
2016-01-01,57188,696271,8.21%,0.08213468606,January
2016-02-01,54932,696271,7.89%,0.07889456835,February
2016-03-01,57583,696271,8.27%,0.08270199391,March
2016-04-01,56663,696271,8.14%,0.08138066931,April
2016-05-01,59327,696271,8.52%,0.08520676576,May
2016-06-01,58701,696271,8.43%,0.08430769054,June
2016-07-01,61300,696271,8.80%,0.08804043253,July
2016-08-01,59118,696271,8.49%,0.08490659528,August
2016-09-01,60152,696271,8.64%,0.08639164923,September
2016-10-01,58862,696271,8.45%,0.08453892234,October
2016-11-01,55985,696271,8.04%,0.08040691053,November
2016-12-01,56460,696271,8.11%,0.08108911616,December
2017-01-01,56237,679106,8.28%,0.08281034183,January
2017-02-01,51259,679106,7.55%,0.07548011651,February
2017-03-01,56625,679106,8.34%,0.08338168121,March
2017-04-01,54613,679106,8.04%,0.08041896258,April
2017-05-01,58224,679106,8.57%,0.08573624736,May
2017-06-01,56431,679106,8.31%,0.08309601152,June
2017-07-01,58797,679106,8.66%,0.08658000371,July
2017-08-01,58776,679106,8.65%,0.0865490807,August
2017-09-01,58740,679106,8.65%,0.08649606983,September
2017-10-01,58590,679106,8.63%,0.08627519121,October
2017-11-01,56101,679106,8.26%,0.08261007854,November
2017-12-01,54713,679106,8.06%,0.08056621499,December
2018-01-01,56173,657076,8.55%,0.08548934979,January
2018-02-01,48792,657076,7.43%,0.07425625042,February
2018-03-01,53875,657076,8.20%,0.08199203745,March
2018-04-01,52639,657076,8.01%,0.08011097651,April
2018-05-01,56599,657076,8.61%,0.08613767662,May
2018-06-01,54968,657076,8.37%,0.08365546756,June
2018-07-01,56824,657076,8.65%,0.08648010276,July
2018-08-01,56719,657076,8.63%,0.08632030389,August
2018-09-01,56145,657076,8.54%,0.08544673675,September
2018-10-01,56663,657076,8.62%,0.08623507783,October
2018-11-01,54037,657076,8.22%,0.08223858427,November
2018-12-01,53642,657076,8.16%,0.08163743616,December
2019-01-01,53677,640370,8.38%,0.08382185299,January
2019-02-01,48203,640370,7.53%,0.07527366991,February
2019-03-01,52880,640370,8.26%,0.08257726002,March
2019-04-01,51148,640370,7.99%,0.07987257367,April
2019-05-01,55108,640370,8.61%,0.08605649859,May
2019-06-01,53539,640370,8.36%,0.08360635258,June
2019-07-01,56440,640370,8.81%,0.08813654606,July
2019-08-01,55359,640370,8.64%,0.08644845948,August
2019-09-01,55164,640370,8.61%,0.08614394803,September
2019-10-01,55281,640370,8.63%,0.0863266549,October
2019-11-01,51922,640370,8.11%,0.0810812499,November
2019-12-01,51649,640370,8.07%,0.08065493387,December
2020-01-01,52804,613936,8.60%,0.0860089651,January
2020-02-01,48317,613936,7.87%,0.07870038571,February
2020-03-01,51080,613936,8.32%,0.08320085481,March
2020-04-01,49337,613936,8.04%,0.08036179667,April
2020-05-01,52094,613936,8.49%,0.08485249277,May
2020-06-01,51495,613936,8.39%,0.08387682104,June
2020-07-01,53515,613936,8.72%,0.08716706627,July
2020-08-01,51662,613936,8.41%,0.08414883636,August
2020-09-01,53079,613936,8.65%,0.08645689453,September
2020-10-01,53624,613936,8.73%,0.08734460921,October
2020-11-01,49638,613936,8.09%,0.08085207579,November
2020-12-01,47291,613936,7.70%,0.07702920174,December
