Age,Year,Type of Registration,All ages  
25 - 29,2016,Within Marriage (or Civil Partnership),94118
25 - 29,2017,Within Marriage (or Civil Partnership),88323
25 - 29,2018,Within Marriage (or Civil Partnership),82497
25 - 29,2019,Within Marriage (or Civil Partnership),78113
25 - 29,2020,Within Marriage (or Civil Partnership),72706
30 - 34,1938,Outside Marriage (or Civil Partnership),3777
30 - 34,1939,Outside Marriage (or Civil Partnership),3725
30 - 34,1940,Outside Marriage (or Civil Partnership),3841
30 - 34,1941,Outside Marriage (or Civil Partnership),4531
30 - 34,1942,Outside Marriage (or Civil Partnership),5441
30 - 34,1943,Outside Marriage (or Civil Partnership),6443
30 - 34,1944,Outside Marriage (or Civil Partnership),8479
30 - 34,1945,Outside Marriage (or Civil Partnership),9780
30 - 34,1946,Outside Marriage (or Civil Partnership),8588
30 - 34,1947,Outside Marriage (or Civil Partnership),7723
30 - 34,1948,Outside Marriage (or Civil Partnership),6476
30 - 34,1949,Outside Marriage (or Civil Partnership),5558
30 - 34,1950,Outside Marriage (or Civil Partnership),5625
30 - 34,1951,Outside Marriage (or Civil Partnership),5639
30 - 34,1952,Outside Marriage (or Civil Partnership),5565
30 - 34,1953,Outside Marriage (or Civil Partnership),5860
30 - 34,1954,Outside Marriage (or Civil Partnership),5615
30 - 34,1955,Outside Marriage (or Civil Partnership),5173
30 - 34,1956,Outside Marriage (or Civil Partnership),5365
30 - 34,1957,Outside Marriage (or Civil Partnership),5283
30 - 34,1958,Outside Marriage (or Civil Partnership),5246
30 - 34,1959,Outside Marriage (or Civil Partnership),5331
30 - 34,1960,Outside Marriage (or Civil Partnership),5629
30 - 34,1961,Outside Marriage (or Civil Partnership),6216
30 - 34,1962,Outside Marriage (or Civil Partnership),6782
30 - 34,1963,Outside Marriage (or Civil Partnership),7005
30 - 34,1964,Outside Marriage (or Civil Partnership),7286
30 - 34,1965,Outside Marriage (or Civil Partnership),7123
30 - 34,1966,Outside Marriage (or Civil Partnership),6865
30 - 34,1967,Outside Marriage (or Civil Partnership),6871
30 - 34,1968,Outside Marriage (or Civil Partnership),6620
30 - 34,1969,Outside Marriage (or Civil Partnership),6362
30 - 34,1970,Outside Marriage (or Civil Partnership),6254
30 - 34,1971,Outside Marriage (or Civil Partnership),6250
30 - 34,1972,Outside Marriage (or Civil Partnership),5797
30 - 34,1973,Outside Marriage (or Civil Partnership),5322
30 - 34,1974,Outside Marriage (or Civil Partnership),4934
30 - 34,1975,Outside Marriage (or Civil Partnership),4717
30 - 34,1976,Outside Marriage (or Civil Partnership),4733
30 - 34,1977,Outside Marriage (or Civil Partnership),5280
30 - 34,1978,Outside Marriage (or Civil Partnership),5889
30 - 34,1979,Outside Marriage (or Civil Partnership),6891
30 - 34,1980,Outside Marriage (or Civil Partnership),7588
30 - 34,1981,Outside Marriage (or Civil Partnership),7870
30 - 34,1982,Outside Marriage (or Civil Partnership),8133
30 - 34,1983,Outside Marriage (or Civil Partnership),9274
30 - 34,1984,Outside Marriage (or Civil Partnership),10114
30 - 34,1985,Outside Marriage (or Civil Partnership),11323
30 - 34,1986,Outside Marriage (or Civil Partnership),13118
30 - 34,1987,Outside Marriage (or Civil Partnership),15306
30 - 34,1988,Outside Marriage (or Civil Partnership),17590
30 - 34,1989,Outside Marriage (or Civil Partnership),19881
30 - 34,1990,Outside Marriage (or Civil Partnership),22880
30 - 34,1991,Outside Marriage (or Civil Partnership),25717
30 - 34,1992,Outside Marriage (or Civil Partnership),28935
30 - 34,1993,Outside Marriage (or Civil Partnership),31390
30 - 34,1994,Outside Marriage (or Civil Partnership),34005
30 - 34,1995,Outside Marriage (or Civil Partnership),37002
30 - 34,1996,Outside Marriage (or Civil Partnership),40479
30 - 34,1997,Outside Marriage (or Civil Partnership),42235
30 - 34,1998,Outside Marriage (or Civil Partnership),43900
30 - 34,1999,Outside Marriage (or Civil Partnership),44981
30 - 34,2000,Outside Marriage (or Civil Partnership),43948
30 - 34,2001,Outside Marriage (or Civil Partnership),45210
30 - 34,2002,Outside Marriage (or Civil Partnership),46439
30 - 34,2003,Outside Marriage (or Civil Partnership),49212
30 - 34,2004,Outside Marriage (or Civil Partnership),50712
30 - 34,2005,Outside Marriage (or Civil Partnership),50752
30 - 34,2006,Outside Marriage (or Civil Partnership),51411
30 - 34,2007,Outside Marriage (or Civil Partnership),52967
30 - 34,2008,Outside Marriage (or Civil Partnership),54384
30 - 34,2009,Outside Marriage (or Civil Partnership),55798
30 - 34,2010,Outside Marriage (or Civil Partnership),60584
30 - 34,2011,Outside Marriage (or Civil Partnership),63632
30 - 34,2012,Outside Marriage (or Civil Partnership),67839
30 - 34,2013,Outside Marriage (or Civil Partnership),67930
30 - 34,2014,Outside Marriage (or Civil Partnership),70365
30 - 34,2015,Outside Marriage (or Civil Partnership),72155
30 - 34,2016,Outside Marriage (or Civil Partnership),73447
30 - 34,2017,Outside Marriage (or Civil Partnership),74345
30 - 34,2018,Outside Marriage (or Civil Partnership),74966
30 - 34,2019,Outside Marriage (or Civil Partnership),74974
30 - 34,2020,Outside Marriage (or Civil Partnership),76247
30 - 34,1938,Within Marriage (or Civil Partnership),141576
30 - 34,1939,Within Marriage (or Civil Partnership),139785
30 - 34,1940,Within Marriage (or Civil Partnership),129494
30 - 34,1941,Within Marriage (or Civil Partnership),122737
30 - 34,1942,Within Marriage (or Civil Partnership),144433
30 - 34,1943,Within Marriage (or Civil Partnership),157494
30 - 34,1944,Within Marriage (or Civil Partnership),178562
30 - 34,1945,Within Marriage (or Civil Partnership),153721
30 - 34,1946,Within Marriage (or Civil Partnership),194164
30 - 34,1947,Within Marriage (or Civil Partnership),187458
30 - 34,1948,Within Marriage (or Civil Partnership),149607
30 - 34,1949,Within Marriage (or Civil Partnership),131570
30 - 34,1950,Within Marriage (or Civil Partnership),131956
30 - 34,1951,Within Marriage (or Civil Partnership),134592
30 - 34,1952,Within Marriage (or Civil Partnership),139004
30 - 34,1953,Within Marriage (or Civil Partnership),144779
30 - 34,1954,Within Marriage (or Civil Partnership),143547
30 - 34,1955,Within Marriage (or Civil Partnership),136369
30 - 34,1956,Within Marriage (or Civil Partnership),137611
30 - 34,1957,Within Marriage (or Civil Partnership),138453
30 - 34,1958,Within Marriage (or Civil Partnership),139020
30 - 34,1959,Within Marriage (or Civil Partnership),138144
30 - 34,1960,Within Marriage (or Civil Partnership),145034
30 - 34,1961,Within Marriage (or Civil Partnership),146070
30 - 34,1962,Within Marriage (or Civil Partnership),147203
30 - 34,1963,Within Marriage (or Civil Partnership),146691
30 - 34,1964,Within Marriage (or Civil Partnership),146227
30 - 34,1965,Within Marriage (or Civil Partnership),137515
30 - 34,1966,Within Marriage (or Civil Partnership),129541
30 - 34,1967,Within Marriage (or Civil Partnership),123408
30 - 34,1968,Within Marriage (or Civil Partnership),118696
30 - 34,1969,Within Marriage (or Civil Partnership),114033
30 - 34,1970,Within Marriage (or Civil Partnership),107832
30 - 34,1971,Within Marriage (or Civil Partnership),103366
30 - 34,1972,Within Marriage (or Civil Partnership),92942
30 - 34,1973,Within Marriage (or Civil Partnership),86478
30 - 34,1974,Within Marriage (or Civil Partnership),84198
30 - 34,1975,Within Marriage (or Civil Partnership),83662
30 - 34,1976,Within Marriage (or Civil Partnership),86058
30 - 34,1977,Within Marriage (or Civil Partnership),95527
30 - 34,1978,Within Marriage (or Civil Partnership),107188
30 - 34,1979,Within Marriage (or Civil Partnership),118773
30 - 34,1980,Within Marriage (or Civil Partnership),122320
30 - 34,1981,Within Marriage (or Civil Partnership),118720
30 - 34,1982,Within Marriage (or Civil Partnership),112625
30 - 34,1983,Within Marriage (or Civil Partnership),111722
30 - 34,1984,Within Marriage (or Civil Partnership),112660
30 - 34,1985,Within Marriage (or Civil Partnership),114862
30 - 34,1986,Within Marriage (or Civil Partnership),116369
30 - 34,1987,Within Marriage (or Civil Partnership),121252
30 - 34,1988,Within Marriage (or Civil Partnership),123384
30 - 34,1989,Within Marriage (or Civil Partnership),125439
30 - 34,1990,Within Marriage (or Civil Partnership),133384
30 - 34,1991,Within Marriage (or Civil Partnership),135542
30 - 34,1992,Within Marriage (or Civil Partnership),137904
30 - 34,1993,Within Marriage (or Civil Partnership),139671
30 - 34,1994,Within Marriage (or Civil Partnership),145563
30 - 34,1995,Within Marriage (or Civil Partnership),144200
30 - 34,1996,Within Marriage (or Civil Partnership),145898
30 - 34,1997,Within Marriage (or Civil Partnership),145293
30 - 34,1998,Within Marriage (or Civil Partnership),144599
30 - 34,1999,Within Marriage (or Civil Partnership),140330
30 - 34,2000,Within Marriage (or Civil Partnership),136165
30 - 34,2001,Within Marriage (or Civil Partnership),133710
30 - 34,2002,Within Marriage (or Civil Partnership),134093
30 - 34,2003,Within Marriage (or Civil Partnership),138002
30 - 34,2004,Within Marriage (or Civil Partnership),139838
30 - 34,2005,Within Marriage (or Civil Partnership),137401
30 - 34,2006,Within Marriage (or Civil Partnership),137996
30 - 34,2007,Within Marriage (or Civil Partnership),138157
30 - 34,2008,Within Marriage (or Civil Partnership),138066
30 - 34,2009,Within Marriage (or Civil Partnership),135802
30 - 34,2010,Within Marriage (or Civil Partnership),141873
30 - 34,2011,Within Marriage (or Civil Partnership),143519
30 - 34,2012,Within Marriage (or Civil Partnership),148403
30 - 34,2013,Within Marriage (or Civil Partnership),144376
30 - 34,2014,Within Marriage (or Civil Partnership),145277
30 - 34,2015,Within Marriage (or Civil Partnership),145600
30 - 34,2016,Within Marriage (or Civil Partnership),146682
30 - 34,2017,Within Marriage (or Civil Partnership),142442
30 - 34,2018,Within Marriage (or Civil Partnership),137741
30 - 34,2019,Within Marriage (or Civil Partnership),134931
30 - 34,2020,Within Marriage (or Civil Partnership),129428
35-39,1938,Outside Marriage (or Civil Partnership),2626
35-39,1939,Outside Marriage (or Civil Partnership),2546
35-39,1940,Outside Marriage (or Civil Partnership),2489
35-39,1941,Outside Marriage (or Civil Partnership),2932
35-39,1942,Outside Marriage (or Civil Partnership),3401
35-39,1943,Outside Marriage (or Civil Partnership),3914
35-39,1944,Outside Marriage (or Civil Partnership),4723
35-39,1945,Outside Marriage (or Civil Partnership),5161
35-39,1946,Outside Marriage (or Civil Partnership),4923
35-39,1947,Outside Marriage (or Civil Partnership),4639
35-39,1948,Outside Marriage (or Civil Partnership),4220
35-39,1949,Outside Marriage (or Civil Partnership),3966
35-39,1950,Outside Marriage (or Civil Partnership),3882
35-39,1951,Outside Marriage (or Civil Partnership),3568
35-39,1952,Outside Marriage (or Civil Partnership),3476
35-39,1953,Outside Marriage (or Civil Partnership),3215
35-39,1954,Outside Marriage (or Civil Partnership),3015
35-39,1955,Outside Marriage (or Civil Partnership),3103
35-39,1956,Outside Marriage (or Civil Partnership),3442
35-39,1957,Outside Marriage (or Civil Partnership),3686
35-39,1958,Outside Marriage (or Civil Partnership),3768
35-39,1959,Outside Marriage (or Civil Partnership),3846
35-39,1960,Outside Marriage (or Civil Partnership),3882
35-39,1961,Outside Marriage (or Civil Partnership),3973
35-39,1962,Outside Marriage (or Civil Partnership),4207
35-39,1963,Outside Marriage (or Civil Partnership),4192
35-39,1964,Outside Marriage (or Civil Partnership),4303
35-39,1965,Outside Marriage (or Civil Partnership),4219
35-39,1966,Outside Marriage (or Civil Partnership),4128
35-39,1967,Outside Marriage (or Civil Partnership),4071
35-39,1968,Outside Marriage (or Civil Partnership),3890
35-39,1969,Outside Marriage (or Civil Partnership),3451
35-39,1970,Outside Marriage (or Civil Partnership),3208
35-39,1971,Outside Marriage (or Civil Partnership),3151
35-39,1972,Outside Marriage (or Civil Partnership),3024
35-39,1973,Outside Marriage (or Civil Partnership),2654
35-39,1974,Outside Marriage (or Civil Partnership),2476
35-39,1975,Outside Marriage (or Civil Partnership),2354
35-39,1976,Outside Marriage (or Civil Partnership),2251
35-39,1977,Outside Marriage (or Civil Partnership),2216
35-39,1978,Outside Marriage (or Civil Partnership),2333
35-39,1979,Outside Marriage (or Civil Partnership),2678
35-39,1980,Outside Marriage (or Civil Partnership),3047
35-39,1981,Outside Marriage (or Civil Partnership),2730
35-39,1982,Outside Marriage (or Civil Partnership),3682
35-39,1983,Outside Marriage (or Civil Partnership),4117
35-39,1984,Outside Marriage (or Civil Partnership),4571
35-39,1985,Outside Marriage (or Civil Partnership),5100
35-39,1986,Outside Marriage (or Civil Partnership),5712
35-39,1987,Outside Marriage (or Civil Partnership),6445
35-39,1988,Outside Marriage (or Civil Partnership),7249
35-39,1989,Outside Marriage (or Civil Partnership),7937
35-39,1990,Outside Marriage (or Civil Partnership),8726
35-39,1991,Outside Marriage (or Civil Partnership),9834
35-39,1992,Outside Marriage (or Civil Partnership),10917
35-39,1993,Outside Marriage (or Civil Partnership),11905
35-39,1994,Outside Marriage (or Civil Partnership),13393
35-39,1995,Outside Marriage (or Civil Partnership),14388
35-39,1996,Outside Marriage (or Civil Partnership),16238
35-39,1997,Outside Marriage (or Civil Partnership),18229
35-39,1998,Outside Marriage (or Civil Partnership),19561
35-39,1999,Outside Marriage (or Civil Partnership),20811
35-39,2000,Outside Marriage (or Civil Partnership),22303
35-39,2001,Outside Marriage (or Civil Partnership),23293
35-39,2002,Outside Marriage (or Civil Partnership),25080
35-39,2003,Outside Marriage (or Civil Partnership),27791
35-39,2004,Outside Marriage (or Civil Partnership),29673
35-39,2005,Outside Marriage (or Civil Partnership),30303
35-39,2006,Outside Marriage (or Civil Partnership),32240
35-39,2007,Outside Marriage (or Civil Partnership),33981
35-39,2008,Outside Marriage (or Civil Partnership),34618
35-39,2009,Outside Marriage (or Civil Partnership),34132
35-39,2010,Outside Marriage (or Civil Partnership),34995
35-39,2011,Outside Marriage (or Civil Partnership),35493
35-39,2012,Outside Marriage (or Civil Partnership),36108
35-39,2013,Outside Marriage (or Civil Partnership),35454
35-39,2014,Outside Marriage (or Civil Partnership),36878
35-39,2015,Outside Marriage (or Civil Partnership),39218
35-39,2016,Outside Marriage (or Civil Partnership),40974
35-39,2017,Outside Marriage (or Civil Partnership),41470
35-39,2018,Outside Marriage (or Civil Partnership),41923
35-39,2019,Outside Marriage (or Civil Partnership),41580
35-39,2020,Outside Marriage (or Civil Partnership),41092
35-39,1938,Within Marriage (or Civil Partnership),74650
35-39,1939,Within Marriage (or Civil Partnership),74633
35-39,1940,Within Marriage (or Civil Partnership),69886
35-39,1941,Within Marriage (or Civil Partnership),70096
35-39,1942,Within Marriage (or Civil Partnership),79839
35-39,1943,Within Marriage (or Civil Partnership),89507
35-39,1944,Within Marriage (or Civil Partnership),105752
35-39,1945,Within Marriage (or Civil Partnership),95928
35-39,1946,Within Marriage (or Civil Partnership),111098
35-39,1947,Within Marriage (or Civil Partnership),109711
35-39,1948,Within Marriage (or Civil Partnership),93214
35-39,1949,Within Marriage (or Civil Partnership),83665
35-39,1950,Within Marriage (or Civil Partnership),79158
35-39,1951,Within Marriage (or Civil Partnership),73599
35-39,1952,Within Marriage (or Civil Partnership),68946
35-39,1953,Within Marriage (or Civil Partnership),65253
35-39,1954,Within Marriage (or Civil Partnership),61319
35-39,1955,Within Marriage (or Civil Partnership),63307
35-39,1956,Within Marriage (or Civil Partnership),67556
35-39,1957,Within Marriage (or Civil Partnership),71461
35-39,1958,Within Marriage (or Civil Partnership),73148
35-39,1959,Within Marriage (or Civil Partnership),73415
35-39,1960,Within Marriage (or Civil Partnership),73721
35-39,1961,Within Marriage (or Civil Partnership),73543
35-39,1962,Within Marriage (or Civil Partnership),72012
35-39,1963,Within Marriage (or Civil Partnership),70209
35-39,1964,Within Marriage (or Civil Partnership),71068
35-39,1965,Within Marriage (or Civil Partnership),67803
35-39,1966,Within Marriage (or Civil Partnership),62908
35-39,1967,Within Marriage (or Civil Partnership),59014
35-39,1968,Within Marriage (or Civil Partnership),54193
35-39,1969,Within Marriage (or Civil Partnership),49392
35-39,1970,Within Marriage (or Civil Partnership),45115
35-39,1971,Within Marriage (or Civil Partnership),42073
35-39,1972,Within Marriage (or Civil Partnership),36797
35-39,1973,Within Marriage (or Civil Partnership),31524
35-39,1974,Within Marriage (or Civil Partnership),27832
35-39,1975,Within Marriage (or Civil Partnership),25793
35-39,1976,Within Marriage (or Civil Partnership),23866
35-39,1977,Within Marriage (or Civil Partnership),23311
35-39,1978,Within Marriage (or Civil Partnership),25604
35-39,1979,Within Marriage (or Civil Partnership),28716
35-39,1980,Within Marriage (or Civil Partnership),30846
35-39,1981,Within Marriage (or Civil Partnership),31480
35-39,1982,Within Marriage (or Civil Partnership),35310
35-39,1983,Within Marriage (or Civil Partnership),37160
35-39,1984,Within Marriage (or Civil Partnership),38350
35-39,1985,Within Marriage (or Civil Partnership),39293
35-39,1986,Within Marriage (or Civil Partnership),39753
35-39,1987,Within Marriage (or Civil Partnership),40159
35-39,1988,Within Marriage (or Civil Partnership),40400
35-39,1989,Within Marriage (or Civil Partnership),41528
35-39,1990,Within Marriage (or Civil Partnership),43179
35-39,1991,Within Marriage (or Civil Partnership),43810
35-39,1992,Within Marriage (or Civil Partnership),45733
35-39,1993,Within Marriage (or Civil Partnership),46919
35-39,1994,Within Marriage (or Civil Partnership),49668
35-39,1995,Within Marriage (or Civil Partnership),51129
35-39,1996,Within Marriage (or Civil Partnership),53265
35-39,1997,Within Marriage (or Civil Partnership),56671
35-39,1998,Within Marriage (or Civil Partnership),59320
35-39,1999,Within Marriage (or Civil Partnership),60470
35-39,2000,Within Marriage (or Civil Partnership),62671
35-39,2001,Within Marriage (or Civil Partnership),63202
35-39,2002,Within Marriage (or Civil Partnership),65369
35-39,2003,Within Marriage (or Civil Partnership),69595
35-39,2004,Within Marriage (or Civil Partnership),72555
35-39,2005,Within Marriage (or Civil Partnership),73810
35-39,2006,Within Marriage (or Civil Partnership),78269
35-39,2007,Within Marriage (or Civil Partnership),81399
35-39,2008,Within Marriage (or Civil Partnership),81602
35-39,2009,Within Marriage (or Civil Partnership),80156
35-39,2010,Within Marriage (or Civil Partnership),80846
35-39,2011,Within Marriage (or Civil Partnership),79951
35-39,2012,Within Marriage (or Civil Partnership),78689
35-39,2013,Within Marriage (or Civil Partnership),76046
35-39,2014,Within Marriage (or Civil Partnership),78293
35-39,2015,Within Marriage (or Civil Partnership),81396
35-39,2016,Within Marriage (or Civil Partnership),84231
35-39,2017,Within Marriage (or Civil Partnership),83644
35-39,2018,Within Marriage (or Civil Partnership),82644
35-39,2019,Within Marriage (or Civil Partnership),80829
35-39,2020,Within Marriage (or Civil Partnership),77334
40 - 44,1938,Outside Marriage (or Civil Partnership),1001
40 - 44,1939,Outside Marriage (or Civil Partnership),942
40 - 44,1940,Outside Marriage (or Civil Partnership),983
40 - 44,1941,Outside Marriage (or Civil Partnership),1156
40 - 44,1942,Outside Marriage (or Civil Partnership),1290
40 - 44,1943,Outside Marriage (or Civil Partnership),1443
40 - 44,1944,Outside Marriage (or Civil Partnership),1509
40 - 44,1945,Outside Marriage (or Civil Partnership),1632
40 - 44,1946,Outside Marriage (or Civil Partnership),1609
40 - 44,1947,Outside Marriage (or Civil Partnership),1639
40 - 44,1948,Outside Marriage (or Civil Partnership),1504
40 - 44,1949,Outside Marriage (or Civil Partnership),1415
40 - 44,1950,Outside Marriage (or Civil Partnership),1322
40 - 44,1951,Outside Marriage (or Civil Partnership),1298
40 - 44,1952,Outside Marriage (or Civil Partnership),1314
40 - 44,1953,Outside Marriage (or Civil Partnership),1291
40 - 44,1954,Outside Marriage (or Civil Partnership),1260
40 - 44,1955,Outside Marriage (or Civil Partnership),1255
40 - 44,1956,Outside Marriage (or Civil Partnership),1252
40 - 44,1957,Outside Marriage (or Civil Partnership),1190
40 - 44,1958,Outside Marriage (or Civil Partnership),1195
40 - 44,1959,Outside Marriage (or Civil Partnership),1122
40 - 44,1960,Outside Marriage (or Civil Partnership),1363
40 - 44,1961,Outside Marriage (or Civil Partnership),1484
40 - 44,1962,Outside Marriage (or Civil Partnership),1621
40 - 44,1963,Outside Marriage (or Civil Partnership),1700
40 - 44,1964,Outside Marriage (or Civil Partnership),1623
40 - 44,1965,Outside Marriage (or Civil Partnership),1565
40 - 44,1966,Outside Marriage (or Civil Partnership),1513
40 - 44,1967,Outside Marriage (or Civil Partnership),1468
40 - 44,1968,Outside Marriage (or Civil Partnership),1330
40 - 44,1969,Outside Marriage (or Civil Partnership),1216
40 - 44,1970,Outside Marriage (or Civil Partnership),1074
40 - 44,1971,Outside Marriage (or Civil Partnership),1067
40 - 44,1972,Outside Marriage (or Civil Partnership),948
40 - 44,1973,Outside Marriage (or Civil Partnership),787
40 - 44,1974,Outside Marriage (or Civil Partnership),646
40 - 44,1975,Outside Marriage (or Civil Partnership),669
40 - 44,1976,Outside Marriage (or Civil Partnership),606
40 - 44,1977,Outside Marriage (or Civil Partnership),652
40 - 44,1978,Outside Marriage (or Civil Partnership),596
40 - 44,1979,Outside Marriage (or Civil Partnership),667
40 - 44,1980,Outside Marriage (or Civil Partnership),761
40 - 44,1981,Outside Marriage (or Civil Partnership),840
40 - 44,1982,Outside Marriage (or Civil Partnership),768
40 - 44,1983,Outside Marriage (or Civil Partnership),788
40 - 44,1984,Outside Marriage (or Civil Partnership),885
40 - 44,1985,Outside Marriage (or Civil Partnership),999
40 - 44,1986,Outside Marriage (or Civil Partnership),1074
40 - 44,1987,Outside Marriage (or Civil Partnership),1361
40 - 44,1988,Outside Marriage (or Civil Partnership),1495
40 - 44,1989,Outside Marriage (or Civil Partnership),1766
40 - 44,1990,Outside Marriage (or Civil Partnership),1918
40 - 44,1991,Outside Marriage (or Civil Partnership),2022
40 - 44,1992,Outside Marriage (or Civil Partnership),2240
40 - 44,1993,Outside Marriage (or Civil Partnership),2365
40 - 44,1994,Outside Marriage (or Civil Partnership),2579
40 - 44,1995,Outside Marriage (or Civil Partnership),2835
40 - 44,1996,Outside Marriage (or Civil Partnership),3095
40 - 44,1997,Outside Marriage (or Civil Partnership),3535
40 - 44,1998,Outside Marriage (or Civil Partnership),3791
40 - 44,1999,Outside Marriage (or Civil Partnership),4151
40 - 44,2000,Outside Marriage (or Civil Partnership),4493
40 - 44,2001,Outside Marriage (or Civil Partnership),4917
40 - 44,2002,Outside Marriage (or Civil Partnership),5331
40 - 44,2003,Outside Marriage (or Civil Partnership),6092
40 - 44,2004,Outside Marriage (or Civil Partnership),6786
40 - 44,2005,Outside Marriage (or Civil Partnership),7395
40 - 44,2006,Outside Marriage (or Civil Partnership),8001
40 - 44,2007,Outside Marriage (or Civil Partnership),8557
40 - 44,2008,Outside Marriage (or Civil Partnership),9000
40 - 44,2009,Outside Marriage (or Civil Partnership),9039
40 - 44,2010,Outside Marriage (or Civil Partnership),9569
40 - 44,2011,Outside Marriage (or Civil Partnership),10130
40 - 44,2012,Outside Marriage (or Civil Partnership),10639
40 - 44,2013,Outside Marriage (or Civil Partnership),10365
40 - 44,2014,Outside Marriage (or Civil Partnership),10460
40 - 44,2015,Outside Marriage (or Civil Partnership),10511
40 - 44,2016,Outside Marriage (or Civil Partnership),10659
40 - 44,2017,Outside Marriage (or Civil Partnership),10526
40 - 44,2018,Outside Marriage (or Civil Partnership),10428
40 - 44,2019,Outside Marriage (or Civil Partnership),10802
40 - 44,2020,Outside Marriage (or Civil Partnership),11002
40 - 44,1938,Within Marriage (or Civil Partnership),23473
40 - 44,1939,Within Marriage (or Civil Partnership),22532
40 - 44,1940,Within Marriage (or Civil Partnership),22049
40 - 44,1941,Within Marriage (or Civil Partnership),23141
40 - 44,1942,Within Marriage (or Civil Partnership),25226
40 - 44,1943,Within Marriage (or Civil Partnership),27122
40 - 44,1944,Within Marriage (or Civil Partnership),30288
40 - 44,1945,Within Marriage (or Civil Partnership),29024
40 - 44,1946,Within Marriage (or Civil Partnership),30044
40 - 44,1947,Within Marriage (or Civil Partnership),30834
40 - 44,1948,Within Marriage (or Civil Partnership),27771
40 - 44,1949,Within Marriage (or Civil Partnership),24451
40 - 44,1950,Within Marriage (or Civil Partnership),22960
40 - 44,1951,Within Marriage (or Civil Partnership),21557
40 - 44,1952,Within Marriage (or Civil Partnership),20942
40 - 44,1953,Within Marriage (or Civil Partnership),20603
40 - 44,1954,Within Marriage (or Civil Partnership),20585
40 - 44,1955,Within Marriage (or Civil Partnership),19568
40 - 44,1956,Within Marriage (or Civil Partnership),19234
40 - 44,1957,Within Marriage (or Civil Partnership),18522
40 - 44,1958,Within Marriage (or Civil Partnership),17193
40 - 44,1959,Within Marriage (or Civil Partnership),16615
40 - 44,1960,Within Marriage (or Civil Partnership),19258
40 - 44,1961,Within Marriage (or Civil Partnership),20432
40 - 44,1962,Within Marriage (or Civil Partnership),20994
40 - 44,1963,Within Marriage (or Civil Partnership),20612
40 - 44,1964,Within Marriage (or Civil Partnership),20690
40 - 44,1965,Within Marriage (or Civil Partnership),19255
40 - 44,1966,Within Marriage (or Civil Partnership),17201
40 - 44,1967,Within Marriage (or Civil Partnership),16054
40 - 44,1968,Within Marriage (or Civil Partnership),14574
40 - 44,1969,Within Marriage (or Civil Partnership),13022
40 - 44,1970,Within Marriage (or Civil Partnership),11682
40 - 44,1971,Within Marriage (or Civil Partnership),10848
40 - 44,1972,Within Marriage (or Civil Partnership),9365
40 - 44,1973,Within Marriage (or Civil Partnership),7862
40 - 44,1974,Within Marriage (or Civil Partnership),6850
40 - 44,1975,Within Marriage (or Civil Partnership),5984
40 - 44,1976,Within Marriage (or Civil Partnership),5393
40 - 44,1977,Within Marriage (or Civil Partnership),4882
40 - 44,1978,Within Marriage (or Civil Partnership),5123
40 - 44,1979,Within Marriage (or Civil Partnership),5311
40 - 44,1980,Within Marriage (or Civil Partnership),5314
40 - 44,1981,Within Marriage (or Civil Partnership),5340
40 - 44,1982,Within Marriage (or Civil Partnership),5118
40 - 44,1983,Within Marriage (or Civil Partnership),5422
40 - 44,1984,Within Marriage (or Civil Partnership),5691
40 - 44,1985,Within Marriage (or Civil Partnership),5883
40 - 44,1986,Within Marriage (or Civil Partnership),5959
40 - 44,1987,Within Marriage (or Civil Partnership),6751
40 - 44,1988,Within Marriage (or Civil Partnership),7025
40 - 44,1989,Within Marriage (or Civil Partnership),7079
40 - 44,1990,Within Marriage (or Civil Partnership),7302
40 - 44,1991,Within Marriage (or Civil Partnership),7294
40 - 44,1992,Within Marriage (or Civil Partnership),7456
40 - 44,1993,Within Marriage (or Civil Partnership),7621
40 - 44,1994,Within Marriage (or Civil Partnership),7662
40 - 44,1995,Within Marriage (or Civil Partnership),7944
40 - 44,1996,Within Marriage (or Civil Partnership),8421
40 - 44,1997,Within Marriage (or Civil Partnership),8797
40 - 44,1998,Within Marriage (or Civil Partnership),9189
40 - 44,1999,Within Marriage (or Civil Partnership),9466
40 - 44,2000,Within Marriage (or Civil Partnership),9910
40 - 44,2001,Within Marriage (or Civil Partnership),10582
40 - 44,2002,Within Marriage (or Civil Partnership),11110
40 - 44,2003,Within Marriage (or Civil Partnership),12113
40 - 44,2004,Within Marriage (or Civil Partnership),13098
40 - 44,2005,Within Marriage (or Civil Partnership),13760
40 - 44,2006,Within Marriage (or Civil Partnership),14511
40 - 44,2007,Within Marriage (or Civil Partnership),15484
40 - 44,2008,Within Marriage (or Civil Partnership),15991
40 - 44,2009,Within Marriage (or Civil Partnership),16318
40 - 44,2010,Within Marriage (or Civil Partnership),16404
40 - 44,2011,Within Marriage (or Civil Partnership),17388
40 - 44,2012,Within Marriage (or Civil Partnership),17380
40 - 44,2013,Within Marriage (or Civil Partnership),16783
40 - 44,2014,Within Marriage (or Civil Partnership),16561
40 - 44,2015,Within Marriage (or Civil Partnership),16554
40 - 44,2016,Within Marriage (or Civil Partnership),16788
40 - 44,2017,Within Marriage (or Civil Partnership),16430
40 - 44,2018,Within Marriage (or Civil Partnership),16071
40 - 44,2019,Within Marriage (or Civil Partnership),16426
